avg_kl,token_id,gloss_with_replacement,part_of_speech
0.0,5136384,drink,v
0.0,5120004,scrape,n
0.0,5193741,raspberry,n
0.5847300407123246,5103634,up,adv
0.6493838509172211,5144602,vanilla,n
0.0,5193754,jelly,n
0.0,5136418,smoothie,n
0.0,5160995,scrub,v
0.0,5095460,friends,n
0.0,5111857,pool,n
0.0,5185592,wolf,n
0.0,5169211,story,n
0.43499605361658567,5120064,mean,v
0.0,5161029,floor,n
0.0,5193801,raspberry,n
0.0,5185616,saw,v
0.0,5193815,jelly,n
0.0,5161048,clean,adj
0.0,5136476,think,v
0.49510512897138936,5120114,happen,v
0.0,5169271,story,n
0.0,5111935,very,adv
0.0,5103752,get,v
0.0,5152904,cat,n
0.0,5136523,cat,n
0.0,5111948,nice,adj
0.0,5193874,begins,v
0.0,5161109,finish,v
0.0,5111977,pool,n
0.0,4219051,again,adv
0.0,5103807,guy,n
0.0,5193920,jelly,n
0.0,5169350,have,v
0.3685989635698,5144780,put,v
0.6493838509172211,5193932,juice,n
0.0,5161164,dust,n
0.3869006566098094,5095652,go,v
0.0,5103844,there,adv
0.0,5136612,cat,n
0.0,5185768,wolf,n
0.5941261547656673,5144820,things,n
0.5149178760081861,5120245,know,v
0.0,5185780,wolf,n
0.31914384125900097,5169399,book,n
0.0,5193976,pants,v
0.13828798429890482,5169410,called,v
0.0,5095684,sleep,v
0.43499605361658555,5112078,class,n
1.4165066573842606,5177627,towns,n
0.7278338493159321,5144860,bowl,n
2.1096538379442062,5120285,here,adv
1.6338469256055852,5095710,let,v
0.0,5194029,pants,v
0.6493838509172211,5161266,dirt,n
0.0,5194037,begins,v
0.0,5177653,cities,n
0.43499605361658555,5112124,class,n
0.0,5177666,do,v
0.0,5185866,put,v
0.33271064666877376,5136718,see,v
0.5941261547656673,5144918,do,v
0.3775378158652011,5128535,have,v
2.1096538379442062,5120346,here,adv
0.6657174315389736,5177691,know,v
0.2574546670651227,5153121,think,v
0.0,5194081,letter,n
0.0,5103984,get,v
0.0,5161330,picture,n
0.0,5153140,dirt,n
0.0,5136757,kinds,n
0.0,5194110,jeans,n
0.0,5185922,goes,v
0.0,5095812,guy,n
0.43499605361658555,5112201,class,n
0.0,5161361,about,adv
0.0,5136786,stores,n
0.0,5194132,begins,v
0.0,5153175,floor,n
0.0,5161368,different,adj
1.6635532333438685,5136800,here,adv
0.0,5161377,sizes,n
2.1096538379442062,5120425,here,adv
0.0,5112239,nice,adj
0.0,5095861,man,n
0.0,5104057,thighs,n
0.0,5153210,dust,n
0.0,5194174,letter,n
0.0,5185992,want,v
0.0,5161425,school,n
0.33271064666877376,5136857,see,v
0.0,5186010,find,v
0.21625708402132862,5128669,have,v
0.47706483018556434,5145058,mix,v
0.0,5104100,feet,n
0.0,5153254,floor,n
0.0,5169639,story,n
0.0,5120491,guess,v
0.0,5194225,jeans,n
0.0,5136884,store,n
0.4455946160742501,5145083,together,adv
0.5596558640526252,5128703,seat,n
0.0,5095937,bubbles,n
0.3401299471473198,5136914,sells,v
0.0,5112343,teacher,n
0.31914384125900097,5136925,books,n
0.293254576390746,5120549,know,v
0.0,5128743,put,v
0.0,5169705,story,n
0.0,5194281,starts,v
0.5847300407123244,5194302,letter,n
0.0,5145154,whisk,v
0.0,5186124,spiders,n
0.281121031052498,5112406,think,v
0.0,5169765,story,n
0.0,5145216,whisk,v
0.0,5112450,guy,n
0.2574546670651227,5153422,think,v
0.0,5128859,have,v
0.0,5186208,find,v
0.267365311522491,5137067,read,v
0.5596558640526252,5128880,seat,n
0.2811210310524953,5194419,starts,v
0.0,5112501,teacher,n
0.0,5169846,story,n
0.0,5120721,out,adv
0.0,5128922,put,v
0.5847300407123244,5194463,letter,n
0.16635532333438688,5104352,made,v
0.0,5153509,time,v
0.0,5096170,bubbles,n
0.0,5169898,think,v
0.0,5161711,beads,n
0.0,5112564,guy,n
0.22935017003821706,5178101,place,n
0.6238324625039511,5153534,sleep,n
0.0,5145363,take,v
0.0,5096217,bubbles,n
0.43499605361658555,5178137,world,n
0.0,5169949,need,v
0.0,5112608,teacher,n
0.0,5120800,water,v
0.0,5161770,beads,n
0.0,5145386,long,adj
0.7066982139383009,5120815,out,adv
0.0,5186355,take,v
0.5808917276242955,5145397,time,n
0.3119455409799649,5096251,right,adv
0.4141244019629358,5137214,spells,v
0.12968560152411956,5169986,go,v
0.0,5161799,left,v
0.0,5096266,up,adv
0.31914384125900097,5137230,books,n
0.7066982139383009,5186384,out,adv
0.0,5161811,beads,n
0.0,5194584,jump,n
0.0,5161826,there,adv
0.0,5153635,time,v
0.0,5170020,room,n
0.0,5129069,need,v
0.10648633783851205,5170045,get,v
0.0,5161856,think,v
0.0,5145474,take,v
0.6238324625039511,5153675,sleep,n
0.0,5104525,just,adj
0.5266964611355724,5194642,juggle,v
0.0,5145500,short,adj
0.0,5161885,pig,n
0.31506690025452116,5153697,time,n
0.0,5120930,water,v
0.5808917276242955,5145509,time,n
0.2742120714303085,5161896,did,v
0.0,5120942,out,adv
